Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
85 CINEMEX FORUM CULIACAN TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,FRANCISCO LABASTIDA OCHOA,1676,COLONIA,TRES RÍOS,80000,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,108,24.81600254,-107.4006074,2014-12
91 CINEMEX GALERIAS MAZATLAN PLATINO,OPERADORA DE CINEMAS ,11 a 30 personas,AVENIDA,AVENIDA DEL DELFIN,6204,FRACCIONAMIENTO,MARINA MAZATLÁN,82103,25,SINALOA,12,Mazatlán,1,Mazatlán                                                                                                      ,2192,23.27875054,-106.4473718,2026-04
92 CINEMEX GALERIAS MAZATLAN TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,AVENIDA DEL DELFÍN,,COLONIA,MARINA MAZATLÁN,82103,25,SINALOA,12,Mazatlán,1,Mazatlán                                                                                                      ,2192,23.27875122,-106.4473717,2019-11
CINEMAS 81,,6 a 10 personas,CALLE,MIGUEL HIDALGO Y COSTILLA,,COLONIA,CENTRO,82400,25,SINALOA,9,Escuinapa,1,Escuinapa de Hidalgo                                                                                          ,003A,22.8346839,-105.7786065,2024-11
CINEMEX,CINEMEX WTC,6 a 10 personas,BOULEVARD,GENERAL BENJAMÍN HILL,5720,FRACCIONAMIENTO,BARRANCOS,,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,4721,24.74720202,-107.427108,2017-11
CINEPOLIS ACAYA MAZATLÁN (SENDERO),EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,ÓSCAR PÉREZ ESCOBOSA,8201,COLONIA,VENADILLO,82129,25,SINALOA,12,Mazatlán,1,Mazatlán                                                                                                      ,2629,23.27382557,-106.4184424,2016-01
CINEPOLIS CULIACÁN,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,PEDRO INFANTE CRUZ,450,COLONIA,RECURSOS HIDRÁULICOS,80100,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,2265,24.80168901,-107.4133712,2017-03
CINEPOLIS GRAN PLAZA MAZATLÁN,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,REFORMA,,COLONIA,ALAMEDA,82123,25,SINALOA,12,Mazatlán,1,Mazatlán                                                                                                      ,1870,23.23891909,-106.4393862,2010-07
CINEPOLIS GUASAVE,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALLE,MIGUEL LEYSON PÉREZ,133,COLONIA,EJIDAL GUASAVE,81020,25,SINALOA,11,Guasave,1,Guasave                                                                                                       ,42,25.58047942,-108.4749648,2023-11
CINEPOLIS MC SANTA ROSA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,LUIS DONALDO COLOSIO MURRIETA,17301,COLONIA,VALLE DORADO,82132,25,SINALOA,12,Mazatlán,1,Mazatlán                                                                                                      ,1404,23.25759696,-106.4067959,2017-03
CINEPOLIS PASEO SAN ISIDRO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALZADA,DE LAS TORRES,1787,COLONIA,LOMAS DE SAN ISIDRO SECCIÓN CUMBRES DEL SUR,80197,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,790,24.75519678,-107.4017996,2017-03
CINEPOLIS PLAZA AZAHARES,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CARRETERA,ESTATAL LIBRE 30 CULIACÁN-ALTATA (CALZADA AL AEROPUERTO),7071,COLONIA,BACHIGUALATO,80130,25,SINALOA,6,Culiacán,1,Culiacán Rosales                                                                                              ,5664,24.77478944,-107.45669,2019-04
