Nombre de la Unidad Económica,Razón social,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Número exterior o kilómetro,Tipo de asentamiento humano,Nombre de asentamiento humano,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Latitud,Longitud,Fecha de incorporación al DENUE
242 CINEMEX RINCON DE ROMOS POP,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,DOCTOR FRANCISCO GUEL JIMÉNEZ,108,COLONIA,SANTA ANITA,20410,1,AGUASCALIENTES,7,Rincón de Romos,1,Rincón de Romos                                                                                               ,63,22.22743835,-102.3198794,2010-07
5 CINEMEX AGUASCALIENTES TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,MONTES HIMALAYA,2351,COLONIA,CENTRO COMERCIAL GALERIAS I,20130,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,229,21.92311773,-102.2938359,2011-03
CINEPOLIS AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,AGUASCALIENTES PONIENTE (SIGLO XXI),1601,FRACCIONAMIENTO,LA FUNDICIÓN,20016,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,233,21.90325132,-102.3160821,2010-07
CINEPOLIS ALTARIA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,BOULEVAR A ZACATECAS,849,COLONIA,CENTRO COMERCIAL ALTARIA,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92422666,-102.2902998,2010-07
CINEPOLIS ESPACIO AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,TECNOLÓGICO,120,COLONIA,OJO CALIENTE,20196,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1354,21.87745116,-102.2596567,2019-04
CINEPOLIS SUR AGUASCALIENTES,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,JOSÉ MARÍA CHÁVEZ,1809,FRACCIONAMIENTO,PRADOS DE VILLASUNCIÓN,20280,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1458,21.85472126,-102.2927186,2010-07
CINEPOLIS VELARIA MALL,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,DE LOS MAESTROS,2615,COLONIA,NUEVA ESPANA,20205,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1373,21.85820103,-102.3146139,2010-07
CINEPOLIS VIP ALTARIA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,BOULEVAR A ZACATECAS,849,COLONIA,CENTRO COMERCIAL ALTARIA,20116,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1320,21.92422666,-102.2902998,2023-11
INTERCINEMAS,,0 a 5 personas,CALLE,BENITO JUAREZ,213,COLONIA,CALVILLO CENTRO,20800,1,AGUASCALIENTES,3,Calvillo,1,Calvillo                                                                                                      ,187,21.84719069,-102.7166422,2010-07
MINI CINE SALA ALTERNATIVA,,0 a 5 personas,CALLE,EDEN,,FRACCIONAMIENTO,COLINAS DE SAN IGNACIO,20016,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,1994,21.8985052,-102.3179677,2024-11
OPERADORA DE CINES KRISTAL,OPERADORA DE CINES KRISTAL,11 a 30 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,1001,COLONIA,LA HUERTA,20250,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,816,21.87848685,-102.2807741,2010-07
123 CINEMEX LA GRAN VIA MEXICALI PREMIUM,OPERADORA DE CINEMAS,11 a 30 personas,CALZADA,MANUEL GÓMEZ MORÍN (RÍO CAJEME),1,COLONIA,RIVERA,21259,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,3884,32.65354627,-115.4118575,2017-11
140 CINEMEX LOMA BONITA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,NUEVA AURORA,7200,COLONIA,LOMA BONITA NORTE,22180,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,1191,32.48342548,-117.0519642,2016-01
147 CINEMEX MACROPLAZA TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,DE LOS INSURGENTES,1815,COLONIA,TERCERA ETAPA RÍO TIJUANA,22226,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,583,32.49351081,-116.9306362,2014-12
169 CINEMEX MUNDO DIVERTIDO MEXICALI TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,ADOLFO LÓPEZ MATEOS,,COLONIA,ZONA INDUSTRIAL,21150,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,273A,32.65590712,-115.4774646,2010-07
176 CINEMEX OTAY TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,CALLE,RAMPA AEROPUERTO,16000,COLONIA,LA PECHUGA,22390,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3893,32.53205342,-116.9501929,2010-07
198 CINEMEX PENINSULA TIJUANA POP,OPERADORA DE CINEMAS,11 a 30 personas,OTRO(ESPECIFIQUE),VÍA RÁPIDA ORIENTE,15000,COLONIA,CHAPULTEPEC ALAMAR,22110,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,048A,32.51346547,-116.9672643,2025-04
199 CINEMEX PENINSULA TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,OTRO(ESPECIFIQUE),RAPIDA OTE,15000,COLONIA,CHAPULTEPEC ALAMAR,22110,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,048A,32.51268119,-116.9661955,2026-04
216 CINEMEX PLAZA MINARETE TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,FRANCISCO SARABIA,4555,COLONIA,URBANIZACIÓN ZONA RÍO TIJUANA,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3380,32.51605384,-117.0074309,2023-11
284 CINEMEX TIJUANA PACIFICO TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,PACIFICO,7521,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL PACÍFICO,22643,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,6614,32.47744135,-116.9937895,2019-11
285 CINEMEX TIJUANA PAVILION TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,PASEO DE LOS HÉROES,0,COLONIA,URBANIZACIÓN ZONA RÍO TIJUANA,22010,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3836,32.53106587,-117.0266172,2016-01
314 CINEMEX MUNDO DIVERTIDO TIJUANA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,CANAL,15035,COLONIA,SAN MIGUEL,22610,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,579,32.50409923,-116.9562868,2010-07
CINEMEX,OPERADORA DE CINEMAS,31 a 50 personas,CALLE,AEROPUERTO,10000,ZONA COMERCIAL,PLAZA ALAMEDA,22425,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3893,32.53234656,-116.9509053,2019-11
CINEPOLIS CARROUSEL,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,GUSTAVO DÍAZ ORDAZ,14910,FRACCIONAMIENTO,GAS Y ANEXAS,22610,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3431,32.49480378,-116.9593323,2010-07
CINEPOLIS CENTENARIO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,LÁZARO CÁRDENAS,2139,FRACCIONAMIENTO,RESIDENCIAS,21280,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,4666,32.62483016,-115.4432624,2010-07
CINEPOLIS CENTRO CÍVICO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,DE LOS HÉROES,,COLONIA,CENTRO CIVICO,21000,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,031A,32.64518781,-115.4719415,2010-07
CINEPOLIS GALERÍAS DEL VALLE,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,LAZARO CARDENAS,2200,COLONIA,EL PORVENIR,21220,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,4740,32.62214178,-115.5106161,2010-07
CINEPOLIS GALERÍAS HIPÓDROMO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,CALLE,AGUA CALIENTE,11999,COLONIA,HIPODROMO AGUA CALIENTE,22024,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,1628,32.50916879,-116.9926165,2011-03
CINEPOLIS MACROPLAZA DEL MAR,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,NINGUNO,3976,COLONIA,CARLOS PACHECO (AYUNTAMIENTO),22830,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada                                                                                                      ,5991,31.82043281,-116.5993869,2010-07
CINEPOLIS MARINA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,LA MARINA,656,COLONIA,ZONA FEDERAL (SECCIÓN API),22800,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada                                                                                                      ,632,31.86145856,-116.6271077,2014-12
CINEPOLIS MC LA PAJARITA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALLE,ROSARIO,7002,COLONIA,LOMAS DEL MAR,22564,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,7769,32.44233565,-117.0366934,2011-03
CINEPOLIS NUEVO MEXICALI,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,CALLE,NOVENA,,COLONIA,NUEVO MEXICALI,21390,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,615A,32.61303532,-115.3859637,2010-07
CINEPOLIS PABELLÓN ROSARITO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,COMERCIAL,300,COLONIA,PARCELAS (EJIDO MAZATLÁN),22710,2,BAJA CALIFORNIA,5,Playas de Rosarito,1,Playas de Rosarito                                                                                            ,218,32.37879507,-117.0602963,2010-07
CINEPOLIS PASEO 2000,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,2000,26135,COLONIA,FRANCISCO VILLA,22235,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,6474,32.49234027,-116.8504898,2014-12
CINEPOLIS PASEO CHAPULTEPEC,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,AGUA CALIENTE,10387,COLONIA,CHAPULTEPEC,22020,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,4374,32.51468315,-117.0115782,2014-12
CINEPOLIS PLAYAS,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,PASEO ENSENADA,502,FRACCIONAMIENTO,PLAYAS DE TIJUANA SECCION CORONADO,22504,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,1401,32.53167204,-117.1150219,2010-07
CINEPOLIS PLAZA MONARCA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,MANUEL J. CLOUTHIER,18561,COLONIA,LAGO,22550,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,7078,32.50055472,-116.9192493,2010-07
CINEPOLIS PLAZA RÍO,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,PASEO DE LOS HÉROES,9550,COLONIA,ZONA RÍO,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3357,32.52799224,-117.0219414,2010-07
CINEPOLIS PLAZA SAN PEDRO MEXICALI,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,CALZADA,CETYS,1801,COLONIA,RIVERA,21259,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,2284,32.65569593,-115.4137847,2010-07
CINEPOLIS PUNTA ANÁHUAC MEXICALI,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALZADA,MANUEL GÓMEZ MORÍN (PERIFÉRICO ORIENTE),650,COLONIA,CASA MAGNA,21354,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,6056,32.59522006,-115.4784135,2023-11
CINEPOLIS SENDERO ENSENADA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,ESMERALDA,1180,COLONIA,INDUSTRIAL,22890,2,BAJA CALIFORNIA,1,Ensenada,1,Ensenada                                                                                                      ,795A,31.84969083,-116.5810112,2026-04
CINEPOLIS SENDERO MEXICALI,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,LÁZARO CÁRDENAS,1600,COLONIA,ISLAS AGRARIAS,21600,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,6728,32.59124005,-115.3570825,2023-11
CINEPOLIS SENDERO TIJUANA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,CARRETERA,LIBRE A TIJUANA-TECATE,25452,COLONIA,FIDEICOMISO EL FLORIDO,22245,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,7805,32.45448396,-116.8355414,2011-03
CINEPOLIS TECATE,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,NUEVO LEÓN,700,COLONIA,EL PEDREGAL,21460,2,BAJA CALIFORNIA,3,Tecate,1,Tecate                                                                                                        ,942,32.56611557,-116.6342606,2010-07
CINEPOLIS VIP GALERÍAS HIPÓDROMO,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,CALLE,AGUA CALIENTE,11999,COLONIA,HIPODROMO AGUA CALIENTE,22024,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,1628,32.50916879,-116.9926165,2023-11
CINEPOLIS VIP PLAZA RÍO,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,PASEO DE LOS HÉROES,9550,COLONIA,ZONA RÍO,22320,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,3357,32.52757304,-117.021345,2023-11
CINEPOLIS VIP PLAZA SAN PEDRO MEXICALI,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,CALZADA,CALZADA CETYS,1801,COLONIA,VISTA HERMOSA,21259,2,BAJA CALIFORNIA,2,Mexicali,1,Mexicali                                                                                                      ,2284,32.65575655,-115.4139013,2023-11
GRAN CINEMA LATINO,,0 a 5 personas,CALLE,EMILIANO ZAPATA QUINTA,8012,COLONIA,ZONA CENTRO,22000,2,BAJA CALIFORNIA,4,Tijuana,1,Tijuana                                                                                                       ,2946,32.53170615,-117.0396081,2014-12
158 CINEMEX MI PLAZA LOS CABOS POP,OPERADORA DE CINEMAS,11 a 30 personas,PROLONGACION,LEONA VICARIO,0,COLONIA,EL CARIBE,23477,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas                                                                                                ,1674,22.93191988,-109.9295126,2025-04
234 CINEMEX PUERTO PARAISO PLATINO,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,LÁZARO CÁRDENAS,,COLONIA,MARINA,23453,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas                                                                                                ,356,22.88773427,-109.9108951,2010-07
235 CINEMEX PUERTO PARAISO TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,LAZARO CARDENAS,0,COLONIA,MARINA,23410,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas                                                                                                ,356,22.88807181,-109.9106851,2025-04
253 CINEMEX SAN JOSE DEL CABO POP,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,NINGUNO,,COLONIA,EL ZACATAL,23427,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo                                                                                             ,2988,23.09743664,-109.7084528,2019-11
CINEPOLIS CABO,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,MAURICIO CASTRO,1738,COLONIA,CLUB DE GOLF FONATUR,23400,3,BAJA CALIFORNIA SUR,8,Los Cabos,1,San José del Cabo                                                                                             ,394,23.05298215,-109.7034735,2010-07
CINEPOLIS LA PAZ,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,BOULEVARD,FORJADORES DE SUDCALIFORNIA,4215,FRACCIONAMIENTO,EX BASE AÉREA,23081,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz                                                                                                        ,3104,24.12650395,-110.3118709,2010-07
CINEPOLIS MC PASEO LA PAZ,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,LIBRAMIENTO SUR DANIEL ROLDÁN ZIMBRÓN,1515,COLONIA,EL ZACATAL,23088,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz                                                                                                        ,5079,24.11699452,-110.3415368,2014-12
CINEPOLIS SENDERO LOS CABOS,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,DE LAS BRISAS,2404,COLONIA,BRISAS DEL PACÍFICO,23473,3,BAJA CALIFORNIA SUR,8,Los Cabos,54,Cabo San Lucas                                                                                                ,1725,22.90367882,-109.9347389,2012-06
CINEPOLIS THE SHOPPES AT LA PAZ,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,BOULEVARD,GENERAL AGUSTÍN OLACHEA AVILÉS,8010,COLONIA,EL ZACATAL,23088,3,BAJA CALIFORNIA SUR,3,La Paz,1,La Paz                                                                                                        ,5079,24.11711608,-110.3414026,2014-12
179 CINEMEX PALMIRA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,NARDOS,1,COLONIA,PALMIRA,24100,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen                                                                                             ,3147,18.65919546,-91.79496371,2010-07
45 CINEMEX CIUDAD DEL CARMEN TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,PREDIO URBANO Y AV. PERIFERICO NORTE ,35,COLONIA,ASA PONIENTE,24179,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen                                                                                             ,1314,18.6498686,-91.81297409,2010-07
CENTRO CULTURAL LA CLAQUETA,,6 a 10 personas,CALLE,LIMONITA,21,COLONIA,ERNESTO ZEDILLO,24023,4,CAMPECHE,2,Campeche,1,San Francisco de Campeche                                                                                     ,2423,19.8686107,-90.4948283,2024-11
CINE ATLANTIS,,6 a 10 personas,CALLE,5,,COLONIA,PEDREGAL,24400,4,CAMPECHE,4,Champotón,1,Champotón                                                                                                     ,972,19.34497331,-90.73124846,2010-07
CINEMA CAMINO REAL,,6 a 10 personas,CALLE,19,95,COLONIA,SAN MIGUEL KUKAB,24900,4,CAMPECHE,1,Calkiní,1,Calkiní                                                                                                       ,345,20.36998653,-90.04922137,2019-11
CINEPOLIS GALERÍAS CAMPECHE,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,AVENIDA,PEDRO SÁINZ DE BARANDA,139,COLONIA,CENTRO,24000,4,CAMPECHE,2,Campeche,1,San Francisco de Campeche                                                                                     ,2404,19.85721488,-90.52317087,2014-12
CINEPOLIS VIP GALERÍAS CAMPECHE,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,PEDRO SÁINZ DE BARANDA,139,COLONIA,CENTRO,24000,4,CAMPECHE,2,Campeche,1,San Francisco de Campeche                                                                                     ,2404,19.85695444,-90.52373674,2023-11
CINEPOLIS VIP ZENTRALIA CD. DEL CARMEN,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,CORREGIDORA,26,COLONIA,AEROPUERTO,24199,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen                                                                                             ,1314,18.65273013,-91.80824636,2023-11
CINEPOLIS ZENTRALIA CD. DEL CARMEN,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,AVENIDA,CORREGIDORA,26,COLONIA,AEROPUERTO,24199,4,CAMPECHE,3,Carmen,1,Ciudad del Carmen                                                                                             ,1314,18.65273013,-91.80824636,2017-03
CLUB EDUCINE,EDUCACION PARA EL ARTE Y CULTURA CINEMATOGRAFICA,0 a 5 personas,CALLE,MARIANO ESCOBEDO,34,BARRIO,DE SAN FRANCISCO,24010,4,CAMPECHE,2,Campeche,1,San Francisco de Campeche                                                                                     ,1302,19.84953428,-90.52548144,2024-11
114 CINEMEX INTERMALL TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,CALZADA,JOSÉ VASCONCELOS,1955,RESIDENCIAL,RESIDENCIAL TECNOLÓGICO,27276,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón                                                                                                       ,1064,25.51585296,-103.3961099,2013-07
162 CINEMEX MIRA SIERRA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,LOS FUNDADORES,58,COLONIA,CIUDAD MIRASIERRA,27800,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,4151,25.43342006,-100.9236097,2019-11
164 CINEMEX MONCLOVA TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,AVENIDA,HUEMAC,,COLONIA,ANAHUAC,25750,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova                                                                                                      ,053A,26.90246396,-101.435743,2014-12
211 CINEMEX PLAZA INOVA POP,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,LIBRAMIENTO MANUEL PÉREZ TREVIÑO,2700,COLONIA,TECNOLÓGICO,26001,5,COAHUILA DE ZARAGOZA,25,Piedras Negras,1,Piedras Negras                                                                                                ,676,28.68781328,-100.5578315,2019-11
238 CINEMEX RAMOS ARIZPE POP,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,PLAN DE GUADALUPE,1200,COLONIA,ZONA CENTRO,25903,5,COAHUILA DE ZARAGOZA,27,Ramos Arizpe,1,Ramos Arizpe                                                                                                  ,651,25.54776435,-100.9427692,2019-11
248 CINEMEX SALTILLO TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,CALLE,LUIS ECHEVERRÍA,851,COLONIA,REPÚBLICA NORTE,25280,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,74,25.44432181,-100.9830276,2025-04
292 CINEMEX TORREON TRADICIONAL,OPERADORA DE CINEMAS,11 a 30 personas,CARRETERA,TORREÓN-MATAMOROS,,COLONIA,PROVITEC,27270,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón                                                                                                       ,418,25.53503366,-103.3955751,2014-12
95 CINEMEX GALERIAS SALTILLO PLATINO,OPERADORA DE CINEMAS,11 a 30 personas,BOULEVARD,NINGUNO,2345,COLONIA,PARQUE CENTRO,25279,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,1335,25.45880796,-100.9808524,2013-07
96 CINEMEX GALERIAS SALTILLO TRADICIONAL,OPERADORA DE CINEMAS,31 a 50 personas,BOULEVARD,NAZARIO S ORTIZ GARZA,,COLONIA,PARQUE CENTRO,25279,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,1335,25.45932966,-100.9784101,2017-03
CINE CASTAÑOS,,0 a 5 personas,CALLE,VICENTE GUERRERO,,COLONIA,ZONA CENTRO NORTE,25870,5,COAHUILA DE ZARAGOZA,6,Castaños,1,Castaños                                                                                                      ,401,26.78564492,-101.4310621,2019-11
CINE OLIMPIA,,0 a 5 personas,CALLE,IGNACIO ALLENDE,1047,COLONIA,ZONA CENTRO,25000,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,163,25.43086297,-100.9972249,2014-12
CINEPOLIS CD. ACUÑA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,LIBRAMIENTO EMILIO MENDOZA CISNEROS,2000,COLONIA,SUBCENTRO URBANO,26230,5,COAHUILA DE ZARAGOZA,2,Acuña,1,Ciudad Acuña                                                                                                  ,288A,29.32708506,-100.9769635,2014-12
CINEPOLIS CUATRO CAMINOS,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,INDEPENDENCIA,1300,COLONIA,SANTA MARIA,27010,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón                                                                                                       ,51,25.56023185,-103.4335808,2014-12
CINEPOLIS GALERÍAS LAGUNA,EXHIBIDORA MEXICANA CINEPOLIS,51 a 100 personas,PERIFERICO,RAUL LOPEZ SANCHEZ,6000,FRACCIONAMIENTO,RECIDENCIAL GALERIAS,27018,5,COAHUILA DE ZARAGOZA,35,Torreón,1,Torreón                                                                                                       ,761,25.58176035,-103.4023054,2020-04
CINEPOLIS LA NOGALERA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,PERIFERICO,LUIS ECHEVERRÍA,1474,COLONIA,LOURDES,25070,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,4594,25.38860226,-100.9942635,2010-07
CINEPOLIS MATAMOROS COAHUILA,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,CUAUHTÉMOC,505,COLONIA,CENTRO,27440,5,COAHUILA DE ZARAGOZA,17,Matamoros,1,Matamoros                                                                                                     ,15,25.5314556,-103.2336037,2020-04
CINEPOLIS MUZQUIZ,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,CALLE,MIGUEL ACOSTA,0,COLONIA,INFONAVIT,26340,5,COAHUILA DE ZARAGOZA,20,Múzquiz,1,Ciudad Melchor Múzquiz                                                                                        ,1451,27.87391935,-101.5010537,2023-11
CINEPOLIS PASEO MONCLOVA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,HAROLD R. PAPE,1000,COLONIA,ESTANCIAS DE SAN JUAN BAUTISTA,25733,5,COAHUILA DE ZARAGOZA,18,Monclova,1,Monclova                                                                                                      ,039A,26.94884239,-101.4127906,2023-11
CINEPOLIS PASEO VILLALTA,EXHIBIDORA MEXICANA CINEPOLIS,31 a 50 personas,BOULEVARD,VENUSTIANO CARRANZA,5945,COLONIA,25,25204,5,COAHUILA DE ZARAGOZA,30,Saltillo,1,Saltillo                                                                                                      ,1903,25.47614538,-100.9755104,2023-11
CINEPOLIS PLAZA LEONES (SABINAS),EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,PASEO DE LOS LEONES,1677,COLONIA,FUNDADORES,26740,5,COAHUILA DE ZARAGOZA,28,Sabinas,1,Sabinas                                                                                                       ,396,27.86370375,-101.1283579,2026-04
CINEPOLIS PLAZA MADERO PARRAS,EXHIBIDORA MEXICANA CINEPOLIS,11 a 30 personas,AVENIDA,16 DE SEPTIEMBRE,517,COLONIA,ESTRELLA,27980,5,COAHUILA DE ZARAGOZA,24,Parras,1,Parras de la Fuente                                                                                           ,1164,25.44667695,-102.1719252,2023-11
